Date,Open,High,Low,Close,Volume,Rolling30
02-01-2015,0.483065546,0.486665165,0.475386396,0.483065546,113680000,
05-01-2015,0.483065382,0.48450523,0.472746553,0.474906296,197952000,
06-01-2015,0.475626365,0.476106305,0.460028139,0.460508078,197764000,
07-01-2015,0.463867707,0.467947266,0.457868389,0.459308237,321808000,
08-01-2015,0.464587675,0.479466008,0.464347691,0.476586312,283780000,
09-01-2015,0.478266014,0.482105588,0.471786728,0.478505969,209540000,
12-01-2015,0.479705853,0.479945837,0.468187158,0.472506672,190732000,
13-01-2015,0.476106372,0.485705282,0.46842725,0.471786857,236720000,
14-01-2015,0.466747494,0.475146541,0.46554763,0.473706692,155260000,
15-01-2015,0.477066169,0.479945835,0.470106944,0.470346928,188932000,
16-01-2015,0.469627218,0.479466114,0.468187369,0.478986174,181512000,
20-01-2015,0.482345623,0.484985306,0.474426518,0.480425864,140308000,
21-01-2015,0.477786171,0.488344988,0.474426536,0.487145096,144780000,
22-01-2015,0.488104912,0.496983953,0.483065503,0.495544106,159712000,
23-01-2015,0.496024009,0.497943825,0.491944479,0.496983945,120416000,
26-01-2015,0.49482435,0.497224078,0.491704698,0.49482435,133240000,
27-01-2015,0.487145089,0.487625057,0.470107014,0.471066922,357948000,
28-01-2015,0.476826272,0.478746059,0.463147803,0.463387787,272728000,
29-01-2015,0.463627779,0.477306219,0.461468007,0.474666536,235340000,
30-01-2015,0.471306863,0.476826242,0.460028151,0.460748047,298200000,
02-02-2015,0.463627772,0.472746741,0.454508802,0.470826954,259604000,
03-02-2015,0.474186534,0.483065547,0.471786807,0.482585579,183468000,
04-02-2015,0.481145797,0.489304859,0.479705921,0.48378548,181516000,
05-02-2015,0.484265447,0.491944598,0.483785536,0.491704643,140448000,
06-02-2015,0.491224552,0.496983943,0.487384978,0.489544749,210524000,
09-02-2015,0.486665175,0.490504693,0.483545524,0.489064902,273944000,
10-02-2015,0.48954466,0.50298314,0.487384889,0.502743185,226204000,
11-02-2015,0.503943159,0.503943159,0.496024054,0.499383718,320832000,
12-02-2015,0.527940616,0.539939255,0.524820964,0.535139799,676904000,
13-02-2015,0.533939682,0.536099453,0.525780622,0.535379529,310084000,0.48350549839999996
17-02-2015,0.534419625,0.539699046,0.531060019,0.537059307,203340000,0.4853052904333333
18-02-2015,0.53633951,0.537299446,0.529860252,0.530820131,170948000,0.48716908493333333
19-02-2015,0.537539363,0.538499243,0.529860214,0.532259941,169432000,0.4895608137
20-02-2015,0.531780126,0.536339568,0.527940551,0.536099613,157752000,0.49212052623333336
23-02-2015,0.535859414,0.535859414,0.529140146,0.531779885,125008000,0.49396031199999996
24-02-2015,0.53382783,0.537441254,0.529009894,0.537441254,149356000,0.4959248215
25-02-2015,0.535273089,0.537682114,0.53093697,0.533345938,123820000,0.49795279703333334
26-02-2015,0.533827715,0.537922954,0.530455115,0.534791291,152864000,0.5000529448333333
27-02-2015,0.533345892,0.534550404,0.529491532,0.531418741,157492000,0.5019766797999999
02-03-2015,0.529973178,0.547317761,0.529250482,0.544426978,301512000,0.5044460148
03-03-2015,0.540331894,0.542981741,0.532623175,0.534309447,160344000,0.5062901238999999
04-03-2015,0.532382243,0.541536295,0.530214156,0.540331841,226840000,0.5082869898
05-03-2015,0.540332082,0.551654227,0.53888669,0.550690651,323056000,0.5104051749666667
06-03-2015,0.547558844,0.550208691,0.542740909,0.543222725,257392000,0.5119944622666667
09-03-2015,0.543463802,0.548763555,0.542259289,0.544668257,222388000,0.5135839393333334
10-03-2015,0.547077176,0.557676682,0.5461136,0.554063201,527212000,0.5155585677
11-03-2015,0.554062923,0.561289824,0.549726805,0.551172197,262120000,0.5182287435333334
12-03-2015,0.545872433,0.549967671,0.535754749,0.546113312,406972000,0.5209862610333333
13-03-2015,0.543463536,0.54828147,0.535995697,0.546836078,359288000,0.5233919124333333
16-03-2015,0.551172345,0.556712976,0.547558865,0.553340375,236956000,0.5264783233666667
17-03-2015,0.552135995,0.560326474,0.548281634,0.560085595,299900000,0.5294536114
18-03-2015,0.560085445,0.562976171,0.54587252,0.550931334,413844000,0.5317318032333334
19-03-2015,0.552858445,0.5612898,0.548763207,0.55936265,310756000,0.5342510422333333
20-03-2015,0.563939531,0.568757463,0.558639783,0.565384865,462084000,0.5367070496333334
23-03-2015,0.548522392,0.555749294,0.546836121,0.547077,426012000,0.5386247913333333
24-03-2015,0.545390704,0.549245063,0.537200226,0.539609194,330480000,0.5403096010666667
25-03-2015,0.539368479,0.539368479,0.505161052,0.506847382,542552000,0.5404464076333333
26-03-2015,0.496488808,0.507329135,0.492875327,0.505161047,311920000,0.5406389852666666
27-03-2015,0.508051752,0.516964926,0.499861273,0.515037775,318288000,0.5399689178
30-03-2015,0.517446654,0.519855622,0.510701512,0.517205775,253252000,0.539363126
31-03-2015,0.515760681,0.516242441,0.503715838,0.504197598,357276000,0.5382677357
01-04-2015,0.506124496,0.507810768,0.497452203,0.506124496,330768000,0.5374445478666666
02-04-2015,0.509015258,0.51046065,0.502992869,0.507328987,192204000,0.5366135160666666
06-04-2015,0.505161024,0.523710128,0.499861329,0.522023857,515864000,0.5361443242
07-04-2015,0.522023782,0.532382348,0.519132998,0.526600838,413964000,0.5359716893
08-04-2015,0.52708257,0.532382321,0.522023755,0.530455112,366432000,0.5357388179
09-04-2015,0.526359869,0.544427153,0.526118989,0.542740881,379432000,0.5360519826666666
10-04-2015,0.543222677,0.54852237,0.541295468,0.548281491,258728000,0.536501656
13-04-2015,0.547077028,0.550208691,0.5408137,0.543222725,236724000,0.5368951221333333
14-04-2015,0.541054413,0.5432225,0.533345697,0.538645446,220276000,0.5367024043999999
15-04-2015,0.540090989,0.549245042,0.537441085,0.545149803,243560000,0.5370637496
16-04-2015,0.542018073,0.546595127,0.537922835,0.541777194,155284000,0.5371119280333333
17-04-2015,0.530455115,0.540091042,0.530214235,0.534791291,293636000,0.5365819493666667
20-04-2015,0.537199961,0.540572502,0.531177517,0.532141149,231624000,0.5362125634999999
21-04-2015,0.538645643,0.538645643,0.528768836,0.531418741,230456000,0.5357709129666667
22-04-2015,0.534550527,0.53816395,0.52635999,0.537441254,207420000,0.5352168480666666
23-04-2015,0.527564355,0.540331887,0.521541908,0.535273015,259380000,0.5346868753333334
24-04-2015,0.535032213,0.535273092,0.524673646,0.530696094,240960000,0.5341729680666667
27-04-2015,0.532382323,0.544186281,0.527805268,0.534791291,248456000,0.5337714751666667
28-04-2015,0.53382783,0.539368462,0.528768957,0.537441254,234484000,0.5332415044666666
29-04-2015,0.533586817,0.538886569,0.53117785,0.533345938,195156000,0.5323501825666667
30-04-2015,0.530696052,0.537441138,0.529491539,0.534791291,218844000,0.5318121811333333
01-05-2015,0.539127573,0.549727079,0.536718605,0.548040807,256968000,0.5314347863666666
04-05-2015,0.547559042,0.551172524,0.542981985,0.544668257,200720000,0.5307442327666666
05-05-2015,0.542740932,0.543463628,0.528287126,0.530696094,292928000,0.5301982025666666
06-05-2015,0.533586884,0.538645757,0.525396404,0.532382429,316484000,0.5299573104
07-05-2015,0.530214118,0.543463465,0.528527847,0.541777194,534564000,0.5311216374666666
08-05-2015,0.506124734,0.526119176,0.493598076,0.501788557,1146552000,0.5310092211333334
11-05-2015,0.494802387,0.502029347,0.490948085,0.496970475,544144000,0.5304069778
12-05-2015,0.493357196,0.505883797,0.493116259,0.501788557,388800000,0.5298930705333333
13-05-2015,0.505401899,0.509256259,0.499861268,0.504679203,308524000,0.5299091240333333
14-05-2015,0.506124511,0.515519501,0.504919999,0.512869596,293052000,0.5301339607
15-05-2015,0.515037669,0.517446636,0.509978855,0.513110518,215824000,0.5303266784
18-05-2015,0.511905996,0.515519475,0.509497029,0.512387812,324972000,0.5300054769
19-05-2015,0.513065684,0.514759819,0.508225446,0.50919354,253808000,0.5294252336333334
20-05-2015,0.509435534,0.51548586,0.508709493,0.50919354,196824000,0.5287165145666667
21-05-2015,0.50943534,0.511613464,0.505079093,0.50556314,239692000,0.5274772565333333
22-05-2015,0.506772985,0.508709056,0.503626828,0.504836857,212592000,0.5260291020666666
