Date,Close_Std,High_Std,Low_Std
2015-01-02,-1.0581036157100239,-1.0547601319590776,-1.0609441710041108
2015-01-05,-1.0699165448958463,-1.0653643414116802,-1.0684641610433547
2015-01-06,-1.0698781830592377,-1.0700013106702804,-1.0714876951206562
2015-01-07,-1.0641634983878623,-1.0670747146123958,-1.0634637679483077
2015-01-08,-1.048285092366747,-1.0520615740621957,-1.0557111801654095
2015-01-09,-1.0478248381119657,-1.0478807101233325,-1.0498579681086642
2015-01-12,-1.0584104518798783,-1.0502372107787104,-1.0553235271172443
2015-01-13,-1.0546901437895408,-1.0495910543263165,-1.0548971324232828
2015-01-14,-1.0563009897890143,-1.0583709004954338,-1.0564864271141892
2015-01-15,-1.0677303883932727,-1.060005241643994,-1.0636187936790433
2015-01-16,-1.070913747817119,-1.069431186270042,-1.0692782087854813
2015-01-20,-1.0604431902975247,-1.0641480895567794,-1.0642390148970873
2015-01-21,-1.0572598308736785,-1.0562044509727126,-1.0573779877216836
2015-01-22,-1.0463290483608103,-1.0508453222072949,-1.0517573438348171
2015-01-23,-1.044104530021628,-1.0459803147876918,-1.0447412613549025
2015-01-26,-1.0436443050283544,-1.0436618301583918,-1.0398183515514479
2015-01-27,-1.0588323442980512,-1.0508073061812173,-1.0544319960835251
2015-01-28,-1.0351681533513055,-1.029370849115009,-1.030088875177029
2015-01-29,-1.0213991801595463,-1.0253040042566475,-1.0291198017041665
2015-01-30,-1.0280727059155856,-1.0222253730921838,-1.0241193790353442
2015-02-02,-1.0224347449174278,-1.0253800363088028,-1.0271041123192988
2015-02-03,-1.0223580212442105,-1.0256841065219608,-1.0211733873971858
2015-02-04,-1.0188678549120174,-1.0202869617304653,-1.0184599935026817
2015-02-05,-1.0174103977359632,-1.021351178478787,-1.0148162677811112
2015-02-06,-1.021284123911228,-1.0212751754243634,-1.0179173147237808
2015-02-09,-1.0182541825723088,-1.0228335135184998,-1.0179948275891486
2015-02-10,-1.0094328621503046,-1.0140536673493825,-1.0112888261444803
2015-02-11,-0.9984637178008279,-1.0035254899489352,-1.0022183126339017
2015-02-12,-0.9924038351229896,-0.9937954461119975,-0.990318091570104
2015-02-13,-0.9900258986988801,-0.9945556216448928,-0.990007980961082
2015-02-17,-0.9871493754448881,-0.9884743333726574,-0.9850851007314028
2015-02-18,-0.9837359035244049,-0.9888544356379708,-0.9830306697007388
2015-02-19,-0.9847714682822863,-0.9879042379701505,-0.9796195121490473
2015-02-20,-0.9807443240220944,-0.9861178617150111,-0.980704869706849
2015-02-23,-0.9673205488367984,-0.9728150943655266,-0.9744640341757139
2015-02-24,-0.9705039082606448,-0.9705345967645725,-0.9686108516927441
2015-02-25,-0.9834674584526669,-0.9781361781071352,-0.9803172758062346
2015-02-26,-0.9772157958532928,-0.980910797053904,-0.9862867423741438
2015-02-27,-0.9847330771841699,-0.9820509878589179,-0.9799683644038656
2015-03-02,-0.9823168374464671,-0.9831532496310488,-0.9797357962339868
2015-03-03,-0.9812812726885857,-0.9860418296628559,-0.9805498439761134
2015-03-04,-0.984426299537331,-0.9858898235540084,-0.9796582537948435
2015-03-05,-0.9925955857830178,-0.9889684547184722,-0.9895815862671206
