Price,Close,High,Low
Ticker,AAPL,AAPL,AAPL
Date,,,
2015-01-02,27.332500457763672,27.860000610351562,26.837499618530273
2015-01-05,26.5625,27.162500381469727,26.352500915527344
2015-01-06,26.565000534057617,26.857500076293945,26.157499313354492
2015-01-07,26.9375,27.049999237060547,26.674999237060547
2015-01-08,27.97249984741211,28.037500381469727,27.174999237060547
2015-01-09,28.002500534057617,28.3125,27.552499771118164
2015-01-12,27.3125,28.157499313354492,27.200000762939453
2015-01-13,27.55500030517578,28.200000762939453,27.227500915527344
2015-01-14,27.450000762939453,27.622499465942383,27.125
2015-01-15,26.704999923706055,27.514999389648438,26.665000915527344
2015-01-16,26.497499465942383,26.895000457763672,26.299999237060547
2015-01-20,27.18000030517578,27.24250030517578,26.625
2015-01-21,27.387500762939453,27.764999389648438,27.0674991607666
2015-01-22,28.100000381469727,28.11750030517578,27.43000030517578
2015-01-23,28.2450008392334,28.4375,27.88249969482422
2015-01-26,28.274999618530273,28.59000015258789,28.200000762939453
2015-01-27,27.28499984741211,28.1200008392334,27.25749969482422
2015-01-28,28.827499389648438,29.530000686645508,28.827499389648438
2015-01-29,29.725000381469727,29.797500610351562,28.889999389648438
2015-01-30,29.290000915527344,30.0,29.212499618530273
2015-02-02,29.657499313354492,29.792499542236328,29.020000457763672
2015-02-03,29.662500381469727,29.772499084472656,29.40250015258789
2015-02-04,29.889999389648438,30.127500534057617,29.577499389648438
2015-02-05,29.985000610351562,30.0575008392334,29.8125
2015-02-06,29.732500076293945,30.0625,29.612499237060547
2015-02-09,29.93000030517578,29.959999084472656,29.607500076293945
2015-02-10,30.5049991607666,30.537500381469727,30.040000915527344
2015-02-11,31.219999313354492,31.229999542236328,30.625
2015-02-12,31.614999771118164,31.8700008392334,31.392499923706055
2015-02-13,31.770000457763672,31.81999969482422,31.412500381469727
2015-02-17,31.957500457763672,32.220001220703125,31.729999542236328
2015-02-18,32.18000030517578,32.19499969482422,31.862499237060547
2015-02-19,32.11249923706055,32.25749969482422,32.08250045776367
2015-02-20,32.375,32.375,32.01250076293945
2015-02-23,33.25,33.25,32.415000915527344
2015-02-24,33.04249954223633,33.400001525878906,32.79249954223633
2015-02-25,32.1974983215332,32.900001525878906,32.037498474121094
2015-02-26,32.60499954223633,32.717498779296875,31.65250015258789
2015-02-27,32.1150016784668,32.64250183105469,32.060001373291016
2015-03-02,32.272499084472656,32.56999969482422,32.07500076293945
2015-03-03,32.34000015258789,32.380001068115234,32.022499084472656
2015-03-04,32.1349983215332,32.38999938964844,32.08000183105469
2015-03-05,31.602500915527344,32.1875,31.440000534057617
2015-03-06,31.649999618530273,32.342498779296875,31.565000534057617
2015-03-09,31.78499984741211,32.39250183105469,31.264999389648438
2015-03-10,31.127500534057617,31.80500030517578,30.950000762939453
2015-03-11,30.559999465942383,31.1924991607666,30.52750015258789
2015-03-12,31.112499237060547,31.225000381469727,30.407499313354492
2015-03-13,30.897499084472656,31.350000381469727,30.645000457763672
2015-03-16,31.237499237060547,31.237499237060547,30.717500686645508
2015-03-17,31.760000228881836,31.829999923706055,31.412500381469727
2015-03-18,32.11750030517578,32.290000915527344,31.592500686645508
2015-03-19,31.875,32.3125,31.850000381469727
2015-03-20,31.475000381469727,32.099998474121094,31.290000915527344
2015-03-23,31.802499771118164,31.962499618530273,31.6299991607666
2015-03-24,31.672500610351562,32.0099983215332,31.639999389648438
2015-03-25,30.844999313354492,31.704999923706055,30.844999313354492
2015-03-26,31.059999465942383,31.219999313354492,30.649999618530273
2015-03-27,30.8125,31.174999237060547,30.727500915527344
2015-03-30,31.592500686645508,31.600000381469727,31.0
2015-03-31,31.107500076293945,31.622499465942383,31.09000015258789
2015-04-01,31.0625,31.280000686645508,30.774999618530273
2015-04-02,31.329999923706055,31.389999389648438,31.047500610351562
2015-04-06,31.837499618530273,31.877500534057617,31.082500457763672
2015-04-07,31.502500534057617,32.029998779296875,31.4950008392334
2015-04-08,31.399999618530273,31.600000381469727,31.24250030517578
2015-04-09,31.639999389648438,31.645000457763672,31.165000915527344
2015-04-10,31.774999618530273,31.802499771118164,31.315000534057617
2015-04-13,31.712499618530273,32.14250183105469,31.65250015258789
2015-04-14,31.575000762939453,31.822500228881836,31.477500915527344
2015-04-15,31.69499969482422,31.782499313354492,31.502500534057617
2015-04-16,31.542499542236328,31.774999618530273,31.52750015258789
2015-04-17,31.1875,31.53499984741211,31.114999771118164
2015-04-20,31.899999618530273,32.029998779296875,31.292499542236328
2015-04-21,31.727500915527344,32.04999923706055,31.667499542236328
2015-04-22,32.154998779296875,32.217498779296875,31.579999923706055
2015-04-23,32.41749954223633,32.60499954223633,32.03499984741211
2015-04-24,32.56999969482422,32.657501220703125,32.307498931884766
2015-04-27,33.162498474121094,33.282501220703125,32.787498474121094
2015-04-28,32.63999938964844,33.6349983215332,32.39250183105469
2015-04-29,32.15999984741211,32.897499084472656,32.07500076293945
2015-04-30,31.287500381469727,32.15999984741211,31.145000457763672
2015-05-01,32.23749923706055,32.532501220703125,31.325000762939453
2015-05-04,32.17499923706055,32.64250183105469,32.064998626708984
2015-05-05,31.450000762939453,32.11249923706055,31.44499969482422
2015-05-06,31.252500534057617,31.6875,30.84000015258789
2015-05-07,31.315000534057617,31.520000457763672,31.0049991607666
2015-05-08,31.905000686645508,31.905000686645508,31.52750015258789
2015-05-11,31.579999923706055,31.889999389648438,31.407499313354492
2015-05-12,31.467500686645508,31.719999313354492,31.204999923706055
2015-05-13,31.502500534057617,31.797500610351562,31.467500686645508
2015-05-14,32.23749923706055,32.23749923706055,31.790000915527344
2015-05-15,32.192501068115234,32.372501373291016,32.0525016784668
2015-05-18,32.54750061035156,32.68000030517578,32.09000015258789
2015-05-19,32.51750183105469,32.720001220703125,32.40999984741211
2015-05-20,32.51499938964844,32.744998931884766,32.334999084472656
2015-05-21,32.84749984741211,32.907501220703125,32.45750045776367
2015-05-22,33.1349983215332,33.24250030517578,32.849998474121094
2015-05-26,32.404998779296875,33.227500915527344,32.279998779296875
2015-05-27,33.0099983215332,33.064998626708984,32.51250076293945
2015-05-28,32.94499969482422,32.98749923706055,32.775001525878906
2015-05-29,32.56999969482422,32.86249923706055,32.474998474121094
2015-06-01,32.6349983215332,32.84749984741211,32.51250076293945
2015-06-02,32.4900016784668,32.665000915527344,32.33000183105469
2015-06-03,32.529998779296875,32.73500061035156,32.474998474121094
2015-06-04,32.34000015258789,32.64500045776367,32.227500915527344
2015-06-05,32.162498474121094,32.42250061035156,32.09000015258789
2015-06-08,31.950000762939453,32.3025016784668,31.707500457763672
2015-06-09,31.854999542236328,32.02000045776367,31.405000686645508
2015-06-10,32.220001220703125,32.334999084472656,31.962499618530273
2015-06-11,32.147499084472656,32.54499816894531,32.119998931884766
2015-06-12,31.792499542236328,32.08250045776367,31.77750015258789
2015-06-15,31.729999542236328,31.809999465942383,31.427499771118164
2015-06-16,31.899999618530273,31.962499618530273,31.592500686645508
2015-06-17,31.825000762939453,31.969999313354492,31.684999465942383
2015-06-18,31.969999313354492,32.07749938964844,31.80500030517578
2015-06-19,31.649999618530273,31.954999923706055,31.600000381469727
2015-06-22,31.90250015258789,32.01499938964844,31.770000457763672
2015-06-23,31.75749969482422,31.90250015258789,31.719999313354492
2015-06-24,32.02750015258789,32.45000076293945,31.780000686645508
2015-06-25,31.875,32.29999923706055,31.875
2015-06-26,31.6875,31.997499465942383,31.627500534057617
2015-06-29,31.13249969482422,31.61750030517578,31.1200008392334
2015-06-30,31.357500076293945,31.530000686645508,31.21500015258789
2015-07-01,31.649999618530273,31.735000610351562,31.497499465942383
2015-07-02,31.610000610351562,31.672500610351562,31.4424991607666
2015-07-06,31.5,31.5575008392334,31.212499618530273
2015-07-07,31.422500610351562,31.537500381469727,30.9424991607666
2015-07-08,30.642499923706055,31.15999984741211,30.635000228881836
2015-07-09,30.017499923706055,31.014999389648438,29.80500030517578
2015-07-10,30.81999969482422,30.962499618530273,30.302499771118164
2015-07-13,31.415000915527344,31.440000534057617,31.079999923706055
2015-07-14,31.40250015258789,31.592500686645508,31.260000228881836
2015-07-15,31.704999923706055,31.787500381469727,31.395000457763672
2015-07-16,32.127498626708984,32.14250183105469,31.837499618530273
2015-07-17,32.404998779296875,32.404998779296875,32.07749938964844
2015-07-20,33.01750183105469,33.24250030517578,32.67499923706055
2015-07-21,32.6875,33.22999954223633,32.58000183105469
2015-07-22,31.30500030517578,31.375,30.497499465942383
2015-07-23,31.290000915527344,31.772499084472656,31.264999389648438
2015-07-24,31.125,31.434999465942383,30.975000381469727
2015-07-27,30.6924991607666,30.90250015258789,30.530000686645508
