ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2015-01-16,31.940421199123346,21.014709414121484,41.40775453015273,31.940421199123346,31.940421199123346,-0.7941590578799885,-0.7941590578799885,-0.7941590578799885,0.9248777555225635,0.9248777555225635,0.9248777555225635,-1.719036813402552,-1.719036813402552,-1.719036813402552,0.0,0.0,0.0,31.14626214124336
2015-01-20,31.873192383567446,21.846417777964525,41.134180859885525,31.873192383567446,31.873192383567446,-0.38824367742471866,-0.38824367742471866,-0.38824367742471866,1.010990416923877,1.010990416923877,1.010990416923877,-1.3992340943485957,-1.3992340943485957,-1.3992340943485957,0.0,0.0,0.0,31.484948706142728
2015-01-21,31.85638517967847,21.399484480370866,40.335558040685406,31.85638517967847,31.85638517967847,-0.28912957210782003,-0.28912957210782003,-0.28912957210782003,0.9760845581578479,0.9760845581578479,0.9760845581578479,-1.265214130265668,-1.265214130265668,-1.265214130265668,0.0,0.0,0.0,31.567255607570647
2015-01-22,31.839577975789496,22.336367537528865,41.68549027385154,31.839577975789496,31.839577975789496,-0.17725227578780284,-0.17725227578780284,-0.17725227578780284,0.9372482889967885,0.9372482889967885,0.9372482889967885,-1.1145005647845914,-1.1145005647845914,-1.1145005647845914,0.0,0.0,0.0,31.66232570000169
2015-01-23,31.82277077190052,21.908337598895194,42.27168123950483,31.82277077190052,31.82277077190052,-0.02509653242342281,-0.02509653242342281,-0.02509653242342281,0.9248777555278693,0.9248777555278693,0.9248777555278693,-0.9499742879512921,-0.9499742879512921,-0.9499742879512921,0.0,0.0,0.0,31.797674239477097
2015-01-26,31.772349160233592,22.85968917483896,42.38040704311149,31.772349160233592,31.772349160233592,0.6846019051212616,0.6846019051212616,0.6846019051212616,1.0892424057094716,1.0892424057094716,1.0892424057094716,-0.4046405005882099,-0.4046405005882099,-0.4046405005882099,0.0,0.0,0.0,32.45695106535485
2015-01-27,31.75554195634462,22.428086743211267,42.86262795331033,31.75554195634462,31.75554195634462,0.7945429957448487,0.7945429957448487,0.7945429957448487,1.0109904169216415,1.0109904169216415,1.0109904169216415,-0.216447421176793,-0.216447421176793,-0.216447421176793,0.0,0.0,0.0,32.55008495208947
2015-01-28,31.738734752455642,22.999784651614103,43.20203400317689,31.738734752455642,31.738734752455642,0.9455443184996872,0.9455443184996872,0.9455443184996872,0.9760845581580755,0.9760845581580755,0.9760845581580755,-0.030540239658388188,-0.030540239658388188,-0.030540239658388188,0.0,0.0,0.0,32.68427907095533
2015-01-29,31.72192754856667,22.73978228357877,42.54212532672775,31.72192754856667,31.72192754856667,1.0870808578697102,1.0870808578697102,1.0870808578697102,0.9372482889962133,0.9372482889962133,0.9372482889962133,0.14983256887349683,0.14983256887349683,0.14983256887349683,0.0,0.0,0.0,32.80900840643638
2015-01-30,31.705120344677688,23.089538898960754,42.14875674224313,31.705120344677688,31.705120344677688,1.246391843663127,1.246391843663127,1.246391843663127,0.9248777555254153,0.9248777555254153,0.9248777555254153,0.3215140881377118,0.3215140881377118,0.3215140881377118,0.0,0.0,0.0,32.951512188340814
