Date,Close,High,Low,Open,Volume
02-01-2015,39.99869156,40.5632581,39.81050489,39.91315246,27913900
05-01-2015,39.63087463,39.97303433,39.56244074,39.66508832,39673900
06-01-2015,39.04921722,39.99016088,38.95512221,39.67366213,36447900
07-01-2015,39.54534149,39.74208409,38.91234412,39.33149041,29114100
08-01-2015,40.70869064,40.8455552,39.96448982,39.9901509,29645200
09-01-2015,40.36652374,40.90542931,40.118459,40.72579521,23944200
12-01-2015,39.86183929,40.66592143,39.65654409,40.56327056,23651900
13-01-2015,39.65653992,40.9824158,39.39991931,40.17833701,35270600
14-01-2015,39.31437683,39.55389223,39.02353927,39.31437683,29719600
15-01-2015,38.90378189,39.67364696,38.84390386,39.53678242,32750800
16-01-2015,39.55389023,39.58810392,38.63860476,38.75836409,35695300
20-01-2015,39.6822052,39.90461215,38.98077393,39.60521868,36161900
21-01-2015,39.28016281,39.4683528,38.9037861,39.29727129,39081100
22-01-2015,40.31519699,40.3237496,39.41702332,39.6736439,35898000
23-01-2015,40.35797501,40.53760913,40.03292046,40.51194804,26211600
26-01-2015,40.21255493,40.3152058,39.55389649,40.20400232,42525500
27-01-2015,36.49153137,36.95345028,36.02105987,36.73959929,169164000
28-01-2015,35.23411179,36.60276101,35.20845069,36.55999143,84507100
29-01-2015,35.93552399,36.02961896,34.89193323,35.01168928,63585300
30-01-2015,34.55833817,35.56771559,34.51556534,35.54205124,78004900
02-02-2015,35.31108093,35.38806743,34.41290726,34.72085327,50352500
03-02-2015,35.58481979,35.8671048,35.11434805,35.61048414,52082400
04-02-2015,35.79011536,36.10661403,35.37952169,35.87565448,41614800
05-02-2015,36.31190491,36.47443051,35.80721635,36.11516235,36548200
06-02-2015,36.27768707,36.60274154,36.05528345,36.50864657,34616600
09-02-2015,36.23493195,36.55998654,36.10661998,36.13228433,31381100
10-02-2015,36.44022369,36.58564413,36.08095544,36.55998304,29670700
11-02-2015,36.25202942,36.48298894,36.10660901,36.48298894,38262500
12-02-2015,36.85936737,36.85936737,36.36323136,36.4915433,33268800
13-02-2015,37.52658081,37.52658081,36.91069201,37.10743459,40264900
17-02-2015,37.54381561,37.9056406,37.20783104,37.8797969,33695700
18-02-2015,37.50073624,37.64719155,37.38012791,37.58688739,27111700
19-02-2015,37.47489548,37.50073918,37.08722349,37.19921835,27603400
20-02-2015,37.78503036,37.8022606,37.29398031,37.48350627,29721100
23-02-2015,38.03486633,38.06932351,37.60412041,37.64719434,32518800
24-02-2015,37.98317719,38.16408969,37.83672186,38.03486788,25271700
25-02-2015,37.89702225,37.9831701,37.73333672,37.86256179,29759800
26-02-2015,37.95733261,38.10378465,37.81087729,37.89702844,28957300
27-02-2015,37.77640915,38.07793321,37.61272691,38.01762906,33807700
02-03-2015,37.80225754,38.06931787,37.51796369,37.62134178,31924000
03-03-2015,37.28535843,37.75918148,37.12167619,37.52657833,31748600
04-03-2015,37.09583664,37.22505843,36.94076786,37.05275942,25748700
05-03-2015,37.13890076,37.25089558,36.88906742,37.10444031,23193500
06-03-2015,36.49279785,37.13891678,36.31188534,37.04415215,36248800
09-03-2015,36.91492844,37.15614841,36.34634389,36.34634389,32108000
10-03-2015,36.20849609,36.79431073,36.20849609,36.48417318,39159700
